timestamp, open, high, low, close, volume
2024-01-01T00:00:00+0530,1539,1557,1535.25,1551.35,2808451,0
2024-01-02T00:00:00+0530,1546,1549.15,1523,1534.4,5396313,0
2024-01-03T00:00:00+0530,1519.95,1519.95,1488,1490,7550363,0
2024-01-04T00:00:00+0530,1504.95,1519.75,1492.9,1512.7,7056038,0
2024-01-05T00:00:00+0530,1506.75,1539.7,1506.25,1532.55,8895403,0
2024-01-08T00:00:00+0530,1528.95,1536,1513.25,1522.8,4440136,0
2024-01-09T00:00:00+0530,1541.9,1553,1525.85,1529.3,4412074,0
2024-01-10T00:00:00+0530,1524.95,1535.45,1505,1519.9,4096845,0
2024-01-11T00:00:00+0530,1524.9,1525,1486.6,1494.2,11296088,0
2024-01-12T00:00:00+0530,1562,1618,1555.4,1612.75,26754401,0
2024-01-15T00:00:00+0530,1644.95,1664.95,1636,1652.1,13228305,0
2024-01-16T00:00:00+0530,1644.8,1648.5,1625,1631.55,6500917,0
2024-01-17T00:00:00+0530,1620.25,1647.5,1620.25,1640.2,9209876,0
2024-01-18T00:00:00+0530,1642.65,1649,1628.25,1642.6,6375464,0
2024-01-19T00:00:00+0530,1651.6,1665.5,1644.15,1659.2,4522736,0
2024-01-20T00:00:00+0530,1665.55,1669.25,1645,1648.85,1158144,0
2024-01-23T00:00:00+0530,1650.1,1674.7,1637.7,1642.15,9401255,0
2024-01-24T00:00:00+0530,1659.9,1680,1645,1675.4,8999681,0
2024-01-25T00:00:00+0530,1672.95,1680.55,1658,1669.1,8865304,0
2024-01-29T00:00:00+0530,1665.15,1679.35,1647.6,1656.6,4253785,0
2024-01-30T00:00:00+0530,1662.45,1690,1648.25,1651.45,4995943,0
2024-01-31T00:00:00+0530,1648.25,1667.25,1638.1,1660.9,6763779,0
2024-02-01T00:00:00+0530,1659.55,1677,1650.35,1657.05,5760011,0
2024-02-02T00:00:00+0530,1666.05,1718.5,1665,1693.35,7858483,0
2024-02-05T00:00:00+0530,1694.75,1700.75,1681.85,1687.2,3634135,0
2024-02-06T00:00:00+0530,1686.75,1733,1673.95,1729.45,7694265,0
2024-02-07T00:00:00+0530,1729,1729,1686.85,1693.75,4613877,0
2024-02-08T00:00:00+0530,1698,1706.35,1682.8,1692.1,5919715,0
2024-02-09T00:00:00+0530,1684.7,1692.9,1659.8,1669.35,4600004,0
2024-02-12T00:00:00+0530,1670.35,1692.95,1670.35,1680.1,3555808,0
2024-02-13T00:00:00+0530,1683,1689.1,1663.5,1684.55,2696481,0
2024-02-14T00:00:00+0530,1660.2,1669.45,1635.5,1666.2,3768579,0
2024-02-15T00:00:00+0530,1677,1687.75,1661.6,1676.35,4834391,0
2024-02-16T00:00:00+0530,1689,1709,1687.95,1701.65,4880654,0
2024-02-19T00:00:00+0530,1705,1711.5,1687.7,1699.75,3690993,0
2024-02-20T00:00:00+0530,1685,1694.25,1668.75,1685.25,3706389,0
2024-02-21T00:00:00+0530,1674,1674,1645.3,1655.55,4300508,0
2024-02-22T00:00:00+0530,1665,1684.6,1644.4,1681.35,5841277,0
2024-02-23T00:00:00+0530,1697,1698.45,1671.9,1676.85,5373072,0
2024-02-26T00:00:00+0530,1674.95,1674.95,1645,1660.15,2782438,0
2024-02-27T00:00:00+0530,1661,1671.1,1652.8,1663.6,5159088,0
2024-02-28T00:00:00+0530,1670,1687.8,1662.05,1671.25,3188916,0
2024-02-29T00:00:00+0530,1665,1682.25,1653.3,1673.9,7814722,0
2024-03-01T00:00:00+0530,1669,1671.95,1651,1654.7,6387291,0
2024-03-02T00:00:00+0530,1658.85,1665,1654.05,1656.3,292153,0
2024-03-04T00:00:00+0530,1657.85,1664.45,1633.65,1637.2,4445156,0
2024-03-05T00:00:00+0530,1634,1637.35,1602,1606.5,4596579,0
2024-03-06T00:00:00+0530,1602.8,1620.15,1576,1617.55,6420684,0
2024-03-07T00:00:00+0530,1616.6,1628.45,1604.2,1616.45,6348359,0
2024-03-11T00:00:00+0530,1608.15,1613.8,1588,1600.6,6752895,0
2024-03-12T00:00:00+0530,1600,1625,1597.65,1612.95,4614222,0
2024-03-13T00:00:00+0530,1612.9,1624.5,1598.55,1611.4,5688997,0
2024-03-14T00:00:00+0530,1614.4,1657.75,1608,1653.3,8803799,0
2024-03-15T00:00:00+0530,1641.1,1645.8,1618.35,1634,11809997,0
2024-03-18T00:00:00+0530,1630,1632.65,1598.85,1602.65,4958904,0
2024-03-19T00:00:00+0530,1592.35,1599,1558,1561.45,6870411,0
2024-03-20T00:00:00+0530,1563,1574.95,1552.35,1554.95,4759059,0
2024-03-21T00:00:00+0530,1564,1576.95,1543.4,1554.7,11062497,0
2024-03-22T00:00:00+0530,1521,1528.9,1498.2,1508.85,14673890,0
2024-03-26T00:00:00+0530,1492,1507.45,1487.9,1492.65,8351081,0
2024-03-27T00:00:00+0530,1496,1499,1481.55,1483.85,6857402,0
2024-03-28T00:00:00+0530,1487.15,1511.8,1487.15,1498.05,12499530,0
2024-04-01T00:00:00+0530,1525,1529.95,1492.8,1495.45,6580002,0
2024-04-02T00:00:00+0530,1484.85,1493.15,1480.85,1482.85,7279400,0
2024-04-03T00:00:00+0530,1479,1495.1,1475,1480.65,8736248,0
2024-04-04T00:00:00+0530,1490.55,1495.65,1468,1486.7,11186915,0
2024-04-05T00:00:00+0530,1480.05,1486.7,1476.05,1479.1,5072482,0
2024-04-08T00:00:00+0530,1483,1490.95,1474.1,1476.7,6610887,0
2024-04-09T00:00:00+0530,1490,1513.8,1487.3,1494.85,9423230,0
2024-04-10T00:00:00+0530,1500.35,1509.85,1484.55,1506.8,6744595,0
2024-04-12T00:00:00+0530,1504,1506.8,1479.5,1484.75,12275616,0
2024-04-15T00:00:00+0530,1480,1491.95,1461.05,1468.15,8531224,0
2024-04-16T00:00:00+0530,1451,1455.15,1413.05,1414.45,16173541,0
